id,name,district,lat,lon,category,themes,architectural_style,typical_visit_duration_min,opening_hours_note,ticket_info_note,short_description_en,area_tags,vibe
poi_prague_castle,Prague Castle,Hradcany,50.09,14.4,landmark,"history,architecture,viewpoints,icons","Romanesque,Gothic,Baroque",180,Complex generally 06:00–22:00; interiors and specific sites have varied hours.,Courtyards free; paid circuits for interiors and exhibitions.,"Largest ancient castle complex in the world, seat of Czech rulers and presidents with cathedrals, palaces and panoramic city views.","castle_district,unesco_core","iconic,busy"
poi_st_vitus_cathedral,St. Vitus Cathedral,Hradcany,50.0909,14.4009,church,"history,architecture,viewpoints","Gothic,Neo-Gothic",60,Opening hours vary seasonally within Prague Castle opening times.,Partly accessible with Prague Castle ticket circuits.,"Gothic cathedral dominating the castle skyline, housing royal tombs and stunning stained glass windows.","castle_district,unesco_core","spiritual,impressive"
poi_charles_bridge,Charles Bridge,Mala Strana,50.0865,14.4114,bridge,"history,architecture,viewpoints,romantic,icons","Gothic,Baroque statues",45,Open 24/7 as a public bridge.,Free to cross; paid entry to bridge towers.,"Historic stone bridge lined with Baroque statues, offering iconic views of the Vltava River and Prague Castle.","unesco_core,riverfront","romantic,very_busy"
poi_old_town_square,Old Town Square,Stare Mesto,50.087,14.4208,square,"history,architecture,icons,events","Gothic,Baroque,Renaissance",60,Public square open 24/7; individual buildings have own hours.,Square is free; tower and interiors ticketed.,"Central historic square surrounded by churches, colorful facades and the famous Astronomical Clock.","unesco_core,old_town","lively,touristy"
poi_astronomical_clock,Prague Astronomical Clock,Stare Mesto,50.087,14.4206,clock_tower,"history,architecture,icons",Gothic,30,Tower visiting hours vary by season; hourly show during daytime.,Paid entry to the Old Town Hall tower; exterior show is free.,Medieval astronomical clock with animated hourly show and panoramic city views from the tower.,"unesco_core,old_town","crowded,photogenic"
poi_jewish_quarter,Jewish Quarter (Josefov),Josefov,50.0902,14.4185,district,"history,culture",Historic,120,Synagogues and cemetery have set hours; often closed on Saturdays and Jewish holidays.,Combined tickets for synagogues and Old Jewish Cemetery.,"Historic Jewish district with synagogues, cemetery and museums telling the story of Prague's Jewish community.","unesco_core,old_town","quiet,reflective"
poi_petrin_hill,Petrin Hill & Lookout Tower,Smichov,50.0833,14.3956,park,"viewpoints,nature,relaxing,romantic",19th-century tower,120,Park open 24/7; tower and funicular have specific hours.,Ticketed entry for the lookout tower and funicular.,"Large hillside park with gardens, mirror maze and an Eiffel-style lookout tower overlooking Prague.","viewpoints,green_space","relaxed,scenic"
poi_wenceslas_square,Wenceslas Square,Nove Mesto,50.0814,14.425,boulevard,"history,shopping,nightlife","Historicist,Modern",60,Public space open 24/7; shops and museums have individual hours.,No ticket for the square itself.,"Long historic boulevard that has hosted key Czech demonstrations, now lined with shops, hotels and the National Museum.","new_town,central","busy,urban"
poi_national_museum,National Museum,Nove Mesto,50.0797,14.4304,museum,"history,culture,family",Neo-Renaissance,120,"Typically open daily except selected holidays, often 10:00–18:00.",Paid entry; combined tickets sometimes available for exhibitions.,Flagship Czech museum with grand interiors and exhibitions on natural history and national heritage.,"new_town,indoor_attraction","educational,indoor"
poi_dancing_house,Dancing House,Nove Mesto,50.0755,14.4146,building,"architecture,viewpoints,modern","Deconstructivist,Modern",45,Rooftop bar and gallery have set opening hours.,Free to view from outside; rooftop and exhibitions ticketed.,Iconic modern riverside building nicknamed 'Fred and Ginger' with a rooftop terrace overlooking the Vltava.,"riverfront,modern_architecture","trendy,photogenic"
